start_price,end_price,Total_Growth_%
5.942872843002966,174.08999633789062,2829.3912378229857
14.284000396728516,390.4100036621094,2633.1979334831544
10.0,155.0500030517578,1450.5000305175781
28.299999237060547,306.2099914550781,982.0141332515577
27.571159721516494,286.5400085449219,939.2744136957955
74.0199966430664,739.4600219726562,899.0003451883741
36.82834879557292,336.4349975585937,813.5218074154766
50.02999877929688,448.9500122070313,797.3616293446986
46.869998931884766,281.45001220703125,500.49075873898977
70.0,377.4599914550781,439.22855922154014
70.18000030517578,358.0,410.11684018701476
168.90510166679073,856.2000122070312,406.9118716710574
21.520000457763672,99.37999725341795,361.8029513915047
38.87333297729492,173.1300048828125,345.3695930419293
140.30999755859375,617.5499877929688,340.13256256745257
